songId,bpm,releaseDate
Desperado Waltz,172.0,2021-03-04
Drivessover,182.0,2025-07-16
QZKago Requiem,257.0,2018-12-18
Define,175.0,2022-05-13
Don't Fight The Music,195.0,2022-09-15
Complex Mind,175.0,2023-05-12
Empire of Winter,175.0,2025-01-10
"Help me, ERINNNNNN!!",185.0,2025-05-21
Feel My Fire,123.0,2013-03-14
FREEDOM DiVE (tpz Overcute Remix),234.0,2018-10-25
KING,166.0,2021-03-18
L4TS:2018 (feat. あひる & KTA),190.0,2019-02-07
Kairos,200.0,2023-06-23
KHYMΞXΛ,220.0,2023-11-02
LUCIA,154.0,2013-09-19
Dive into the ZONe,160.0,2022-12-02
Endless World,142.0,2013-05-09
FLUFFY FLASH,252.0,2023-03-23
Crazy Circle,145.0,2019-07-11
DANGEROOOOUS JUNGLE,160.0,2023-11-10
Fist Bump,217.0,2018-06-21
NULCTRL,100.0,2020-02-07
Dive into The Sky ～initialized～,165.0,2021-02-05
First Dance,174.0,2022-05-13
EYE,137.0,2022-09-15
Flashkick,175.0,2020-03-19
NightTheater,151.0,2023-01-06
Grip & Break down !!,160.0,2013-07-11
Cthugha,213.0,2023-04-14
"Endless, Sleepless Night",165.0,2014-08-22
Fragrance,180.0,2013-03-14
I’m Here (feat. Merry Kirk-Holmes),187.0,2023-11-24
Jumble Rumble,185.0,2016-08-25
DROPS feat. Such,120.0,2023-05-12
Pixel Galaxy,150.0,2025-08-01
Rodeo Machine,115.0,2018-07-11
DATAERR0R,180.0,2025-04-11
Dazzle hop,220.0,2025-09-18
GO BACK 2 YOUR RAVE,170.0,2017-06-22
Drive Your Fire,164.0,2020-08-21
FLΛME/FRΦST,174.0,2025-05-09
DETARAME ROCK&ROLL THEORY,140.0,2017-02-14
Kiss Me Kiss,140.0,2021-09-03
Let you DIVE!,185.0,2023-03-23
SILENT BLUE,210.0,2018-12-04
Starlight Vision,180.0,2017-05-11
Jimang Shot,164.0,2016-05-12
PUPA,202.0,2023-09-14
Love Kills U,160.0,2023-11-10
End Time,180.0,2019-06-07
Invitation,147.0,2016-06-30
Grievous Lady,210.0,2021-01-08
Link,132.0,2013-03-14
"Good bye, Merry-Go-Round.",185.0,2022-03-24
MAKE IT FUNKY NOW,146.0,2021-04-16
The Cursed Doll,131.0,2024-08-02
Redemption,175.0,2024-02-02
Final Step!,180.0,2023-04-14
　,130.0,2022-04-15
REVIVER オルタンシア・サーガ -蒼の騎士団- オリジナルVer.,200.0,2017-12-14
HAGAKIRI,172.0,2022-05-27
Scars of FAUNA,165.0,2014-11-26
Get Happy,150.0,2013-07-11
L'épilogue,145.0,2013-09-19
Moon of Noon,200.0,2017-10-03
♡マイマイマイラブ♡,170.0,2019-10-04
Southern Cross,171.0,2021-09-22
FEEL ALIVE,162.0,2013-03-14
Fraq,221.0,2025-03-13
Ether Strike,156.0,2021-01-08
Feel The Luv,155.0,2025-03-13
Neon Kingdom,130.0,2022-11-18
In my world (Prod. KOTONOHOUSE),160.0,2023-01-06
UTAKATA,185.0,2020-02-20
Lunar Mare,165.0,2020-06-11
Swift Swing,150.0,2022-06-24
OTOGEMA,145.0,2022-07-11
Snow Colored Score,164.0,2023-06-08
Eureka,150.0,2025-09-18
Mare Maris,150.0,2018-05-22
Heavenly Blast,234.0,2021-03-18
GIGANTØMAKHIA,190.0,2022-03-03
GET!! 夢&DREAM,150.0,2017-09-19
Last Brave ～ Go to zero,132.0,2016-12-15
JACKY [Remix],135.0,2012-09-13
Jump!! Jump!! Jump!!,183.0,2019-07-26
Ref:rain (for 7th Heaven),188.0,2025-07-13
Random,132.0,2022-09-22
Session High⤴,200.0,2018-06-21
Magical Paradox,192.0,2025-09-18
あねぺったん,180.0,2018-10-16
Latent Kingdom,201.0,2023-10-06
Energizing Flame,201.0,2023-10-20
Got more raves？,266.0,2014-10-29
ぼくたちいつでも　しゅわっしゅわ！,132.0,2020-09-17
Ignis Danse,246.0,2014-11-26
Night Fly,127.0,2013-03-14
R'N'R Monsta,220.0,2025-02-07
Shining Ray ～僕らの絆～,180.0,2024-06-21
felys -final remix-,180.0,2020-09-17
quiet room,93.0,2019-11-29
the EmpErroR,240.0,2019-05-10
PANDORA PARADOXXX,150.0,2019-05-10
Spin me harder,130.0,2013-03-14
IMBRUED:FLUX,176.0,2025-07-11
Mystic Parade,133.0,2023-09-22
RIFFRAIN,122.0,2022-12-16
Halfway(>∀<),175.0,2023-05-12
だからパンを焼いたんだ,170.0,2019-11-29
Resolution,190.0,2025-02-07
Heart Beats,128.0,2015-02-05
"Good Bye, Mr. Jack",180.0,2019-05-10
Regulus,212.0,2021-02-19
MAXRAGE,222.0,2019-07-11
Dreampainter,136.0,2014-10-09
ずんだパーリナイ,150.0,2024-09-12
だから僕は音楽を辞めた,125.0,2020-01-23
Jouez Avec Moi?,162.0,2022-08-05
JUMPIN' JUMPIN',163.0,2013-09-19
How To Make 音ゲ～曲！,185.0,2025-01-24
アポカリプスに反逆の焔を焚べろ,222.0,2019-12-13
End of Twilight,180.0,2014-04-10
やめろ！聴くな！,160.0,2016-11-17
Dragoon,175.0,2015-02-05
イカサマライフゲイム,200.0,2019-07-19
Ignite Infinity,160.0,2013-07-11
Knight Rider,200.0,2023-03-23
つづみぐさ,170.0,2024-04-26
Unwelcome School,180.0,2025-09-18
NAGAREBOSHI☆ROCKET,216.0,2021-09-16
METEOR,170.0,2019-08-22
Play merrily NEO,180.0,2023-09-14
PinqPiq (xovevox Remix),150.0,2023-12-09
カーニバルハッピー,208.0,2024-04-26
LOSE CONTROL,150.0,2021-05-14
Sunday Night feat Kanata.N,143.0,2023-05-12
Everybody Say HARDCORE TANO*C,170.0,2024-07-05
Lunatic Vibes,185.0,2024-05-10
Retribution ～ Cycle of Redemption ～,112.0,2025-09-05
Komplexe,165.0,2020-10-16
Melody！,175.0,2021-06-11
Re:Unknown X,190.0,2024-06-07
HECATONCHEIR,155.0,2022-05-27
Our Wrenally,105.0,2017-01-24
りばーぶ,120.0,2015-12-09
I ♥,132.0,2014-01-23
Sprintrances,178.0,2012-12-13
HUMANBORG,189.0,2024-01-26
Titania,212.0,2019-10-24
Last Samurai,57.0,2021-06-25
LOVE EAST,168.0,2018-06-21
QUATTUORUX,220.0,2024-07-11
Glorious Crown,225.0,2016-05-26
Live & Learn,172.0,2014-08-22
Pixel Voyage,170.0,2013-07-11
L9,256.0,2015-03-19
しんでしまうとはなさけない！,174.0,2016-08-11
