Genre,Version,type,difficulty,Achv,Chart Constant,bpm,releaseDate,Play Count,Last Played,Last Played_Year,Last Played_Month,Last Played_Day,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,songId_length,songId_English,songId_Japanese,songId_Punctuation
東方Project,23.0,1,2,98.44,12.5,190.0,4349.0,4.0,1.7698794e+18,2026.0,1.0,31.0,505.0,30.0,36.0,29.0,49.0,649.0,12,10,0,1
maimai,23.0,1,2,98.2,10.5,180.0,4363.0,1.0,1.7531271e+18,2025.0,7.0,21.0,383.0,69.0,32.0,26.0,24.0,534.0,18,10,4,2
maimai,23.0,1,2,100.21,11.8,188.0,4363.0,3.0,1.75554768e+18,2025.0,8.0,18.0,566.0,51.0,43.0,10.0,24.0,694.0,21,19,0,1
maimai,23.0,1,2,98.8,11.7,167.0,4363.0,4.0,1.75571766e+18,2025.0,8.0,20.0,408.0,71.0,55.0,30.0,56.0,620.0,8,8,0,0
maimai,23.0,1,2,98.24,10.7,142.0,4363.0,1.0,1.75278e+18,2025.0,7.0,17.0,356.0,43.0,33.0,20.0,20.0,472.0,19,17,0,1
GAME＆VARIETY,23.0,1,1,100.66,8.5,180.0,4377.0,1.0,1.75157454e+18,2025.0,7.0,3.0,331.0,19.0,11.0,37.0,5.0,403.0,20,0,14,6
GAME＆VARIETY,23.0,1,1,95.16,8.8,220.0,4383.0,1.0,1.72408962e+18,2024.0,8.0,19.0,343.0,31.0,17.0,31.0,16.0,438.0,10,10,0,0
niconico＆VOCALOID™,23.0,1,1,98.84,7.5,183.0,4391.0,1.0,1.7369835e+18,2025.0,1.0,15.0,314.0,24.0,8.0,16.0,10.0,372.0,3,0,3,0
POPS＆ANIME,23.0,1,1,98.5,7.7,195.0,4419.0,1.0,1.73643336e+18,2025.0,1.0,9.0,303.0,26.0,7.0,50.0,2.0,388.0,23,0,22,1
POPS＆ANIME,23.0,1,2,100.64,10.7,195.0,4419.0,2.0,1.75648326e+18,2025.0,8.0,29.0,414.0,75.0,42.0,20.0,25.0,576.0,23,0,22,1
POPS＆ANIME,23.0,1,2,100.82,10.0,170.0,4419.0,5.0,1.75468206e+18,2025.0,8.0,8.0,375.0,51.0,32.0,18.0,29.0,505.0,8,0,8,0
オンゲキ＆CHUNITHM,23.0,1,2,99.85,11.2,276.0,4433.0,3.0,1.7686791e+18,2026.0,1.0,17.0,489.0,72.0,59.0,11.0,25.0,656.0,11,0,9,2
maimai,26.0,1,2,96.32,12.7,200.0,4817.0,1.0,1.76987742e+18,2026.0,1.0,31.0,434.0,62.0,53.0,15.0,69.0,633.0,9,0,5,4
maimai,26.0,1,2,98.14,11.7,192.0,4817.0,1.0,1.78137276e+18,2026.0,6.0,13.0,365.0,84.0,68.0,47.0,22.0,586.0,15,14,0,0
maimai,26.0,1,2,100.79,11.0,182.0,4817.0,2.0,1.77082698e+18,2026.0,2.0,11.0,418.0,65.0,54.0,19.0,63.0,619.0,15,14,0,0
GAME＆VARIETY,26.0,1,3,93.38,13.0,180.0,4817.0,1.0,1.7698764e+18,2026.0,1.0,31.0,333.0,28.0,56.0,22.0,27.0,466.0,7,0,7,0
niconico＆VOCALOID™,26.0,1,2,100.89,10.8,170.0,4817.0,1.0,1.76909418e+18,2026.0,1.0,22.0,346.0,65.0,60.0,26.0,64.0,561.0,4,0,4,0
niconico＆VOCALOID™,26.0,1,3,100.83,12.0,170.0,4817.0,8.0,1.78317444e+18,2026.0,7.0,4.0,545.0,20.0,142.0,13.0,21.0,741.0,4,0,4,0
GAME＆VARIETY,26.0,1,3,99.19,12.2,180.0,4817.0,13.0,1.7849862e+18,2026.0,7.0,25.0,566.0,29.0,95.0,33.0,22.0,745.0,16,15,0,0
GAME＆VARIETY,26.0,1,2,100.91,10.7,180.0,4817.0,1.0,1.76909346e+18,2026.0,1.0,22.0,326.0,76.0,48.0,16.0,13.0,479.0,16,15,0,0
GAME＆VARIETY,26.0,1,2,97.97,12.8,195.0,4825.0,1.0,1.76987838e+18,2026.0,1.0,31.0,376.0,92.0,79.0,3.0,59.0,609.0,13,12,0,0
niconico＆VOCALOID™,26.0,1,2,100.23,10.7,180.0,4832.0,2.0,1.7718735e+18,2026.0,2.0,23.0,366.0,87.0,46.0,38.0,71.0,608.0,17,3,11,3
niconico＆VOCALOID™,26.0,1,2,100.53,10.2,156.0,4845.0,1.0,1.77351108e+18,2026.0,3.0,14.0,332.0,39.0,27.0,8.0,27.0,433.0,7,0,7,0
niconico＆VOCALOID™,26.0,1,2,99.64,11.0,180.0,4880.0,1.0,1.77558378e+18,2026.0,4.0,7.0,496.0,99.0,62.0,9.0,70.0,736.0,8,0,8,0
niconico＆VOCALOID™,26.0,1,3,89.82,13.2,170.0,4880.0,1.0,1.7755863e+18,2026.0,4.0,7.0,548.0,65.0,113.0,30.0,52.0,808.0,8,0,8,0
niconico＆VOCALOID™,26.0,1,2,99.86,10.8,202.0,4880.0,1.0,1.77558456e+18,2026.0,4.0,7.0,444.0,34.0,24.0,34.0,44.0,580.0,18,0,14,4
niconico＆VOCALOID™,26.0,1,2,99.14,12.4,239.0,4895.0,1.0,1.7786808e+18,2026.0,5.0,13.0,657.0,70.0,27.0,19.0,97.0,870.0,14,4,6,3
POPS＆ANIME,26.0,1,2,100.36,10.4,176.0,4930.0,1.0,1.78498884e+18,2026.0,7.0,25.0,342.0,68.0,38.0,40.0,30.0,518.0,8,0,8,0
POPS＆ANIME,26.0,1,2,100.57,10.8,168.0,4930.0,1.0,1.7813661e+18,2026.0,6.0,13.0,398.0,46.0,52.0,22.0,84.0,602.0,10,0,10,0
POPS＆ANIME,26.0,1,3,94.91,13.0,176.0,4930.0,1.0,1.78136706e+18,2026.0,6.0,13.0,545.0,42.0,86.0,58.0,18.0,749.0,8,0,8,0
POPS＆ANIME,26.0,1,3,88.4,13.2,168.0,4930.0,1.0,1.77963306e+18,2026.0,5.0,24.0,653.0,56.0,127.0,59.0,74.0,969.0,10,0,10,0
GAME＆VARIETY,26.0,1,2,100.59,11.7,180.0,4944.0,1.0,1.76986764e+18,2026.0,1.0,31.0,345.0,65.0,61.0,17.0,38.0,526.0,4,0,4,0
GAME＆VARIETY,26.0,1,2,98.51,12.8,240.0,4944.0,2.0,1.7698794e+18,2026.0,1.0,31.0,460.0,63.0,34.0,38.0,61.0,656.0,4,0,4,0
GAME＆VARIETY,26.0,1,2,100.69,11.5,185.0,4944.0,2.0,1.76987742e+18,2026.0,1.0,31.0,309.0,58.0,38.0,72.0,58.0,535.0,17,16,0,0
東方Project,26.0,1,2,98.8,10.7,188.0,4972.0,1.0,1.78317228e+18,2026.0,7.0,4.0,243.0,43.0,43.0,18.0,18.0,365.0,17,0,17,0
