Genre,Version,type,difficulty,Achv,Chart Constant,bpm,releaseDate,Play Count,Last Played,Last Played_Year,Last Played_Month,Last Played_Day,noteCounts.tap,noteCounts.hold,noteCounts.slide,noteCounts.touch,noteCounts.break,noteCounts.total,songId_length,songId_English,songId_Japanese,songId_Punctuation
maimai,22.0,1,0,96.63,7.0,88.0,4250.0,1.0,1.71172422e+18,2024.0,3.0,29.0,282.0,26.0,8.0,14.0,14.0,344.0,3,0,3,0
maimai,22.0,1,1,94.03,10.5,88.0,4250.0,1.0,1.74836466e+18,2025.0,5.0,27.0,474.0,28.0,4.0,25.0,8.0,539.0,3,0,3,0
niconico＆VOCALOID™,22.0,1,2,99.23,10.0,170.0,4258.0,3.0,1.75096518e+18,2025.0,6.0,26.0,410.0,33.0,32.0,16.0,19.0,510.0,5,5,0,0
niconico＆VOCALOID™,22.0,1,1,99.91,7.2,195.0,4258.0,2.0,1.72408854e+18,2024.0,8.0,19.0,248.0,13.0,8.0,46.0,3.0,318.0,9,0,9,0
niconico＆VOCALOID™,22.0,1,2,99.12,10.8,195.0,4258.0,1.0,1.75217664e+18,2025.0,7.0,10.0,418.0,55.0,23.0,40.0,36.0,572.0,9,0,9,0
POPS＆ANIME,23.0,1,2,97.12,10.0,187.0,4271.0,1.0,1.74111e+18,2025.0,3.0,4.0,366.0,47.0,32.0,33.0,28.0,506.0,6,0,6,0
オンゲキ＆CHUNITHM,22.0,1,1,99.93,8.0,163.0,4271.0,1.0,1.74836358e+18,2025.0,5.0,27.0,338.0,22.0,6.0,28.0,6.0,400.0,11,9,0,0
POPS＆ANIME,23.0,1,1,100.39,7.5,187.0,4271.0,1.0,1.73643942e+18,2025.0,1.0,9.0,319.0,20.0,3.0,13.0,8.0,363.0,6,0,6,0
東方Project,23.0,1,1,95.68,7.2,180.0,4271.0,1.0,1.72408854e+18,2024.0,8.0,19.0,293.0,34.0,5.0,14.0,12.0,358.0,9,0,9,0
POPS＆ANIME,23.0,1,1,96.34,7.8,185.0,4271.0,1.0,1.72408752e+18,2024.0,8.0,19.0,303.0,42.0,10.0,21.0,13.0,389.0,15,14,0,0
niconico＆VOCALOID™,23.0,1,3,100.48,11.8,173.0,4271.0,9.0,1.76780052e+18,2026.0,1.0,7.0,452.0,73.0,129.0,38.0,21.0,713.0,7,0,7,0
POPS＆ANIME,23.0,1,3,100.18,11.9,185.0,4271.0,9.0,1.76799528e+18,2026.0,1.0,9.0,489.0,79.0,91.0,48.0,40.0,747.0,15,14,0,0
maimai,23.0,1,2,98.82,11.8,252.0,4271.0,2.0,1.7555538e+18,2025.0,8.0,18.0,425.0,50.0,28.0,41.0,7.0,551.0,9,9,0,0
maimai,23.0,1,2,99.6,10.9,196.0,4271.0,2.0,1.75373286e+18,2025.0,7.0,28.0,496.0,40.0,49.0,23.0,89.0,697.0,6,0,6,0
オンゲキ＆CHUNITHM,23.0,1,2,95.1,12.9,198.0,4271.0,1.0,1.76987838e+18,2026.0,1.0,31.0,475.0,62.0,63.0,52.0,31.0,683.0,11,10,0,1
niconico＆VOCALOID™,23.0,1,3,100.06,11.6,115.0,4271.0,4.0,1.75701204e+18,2025.0,9.0,4.0,373.0,41.0,72.0,18.0,9.0,513.0,7,0,7,0
POPS＆ANIME,23.0,1,3,98.88,11.5,166.0,4271.0,2.0,1.75415328e+18,2025.0,8.0,2.0,425.0,44.0,100.0,11.0,49.0,629.0,4,0,4,0
