Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
パーフェクト生命,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10,96.82%,AAA,-,-,0,82.20%,1495/1818,10.1
ハッピーシンセサイザ,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,9,92.63%,AA,-,SYNC,0,75.90%,569/750,9.5
さよならプリンセス,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,10+,99.12%,SS,-,SYNC,1,85.60%,1469/1716,10.8
WORLD'S END UMBRELLA,niconico＆VOCALOID™,FiNALE,STD,EXPERT,10,100.43%,SSS,FC,FS+,1,89.20%,1191/1335,10.3
ゴーゴー幽霊船,niconico＆VOCALOID™,PRiSM PLUS (beta),DX,EXPERT,10,99.46%,SS,FC,SYNC,1,85.50%,1108/1296,10
カゲロウデイズ,niconico＆VOCALOID™,GreeN,STD,EXPERT,11+,99.45%,SS,-,SYNC,1,86.60%,1052/1215,11.7
白ゆき,niconico＆VOCALOID™,MURASAKi PLUS,STD,EXPERT,11+,100.33%,SSS,FC,-,1,89.20%,1199/1344,11.7
ウミユリ海底譚,niconico＆VOCALOID™,ORANGE PLUS,STD,EXPERT,9+,98.40%,S+,-,SYNC,0,81.10%,1126/1389,9.7
だんだん早くなる,niconico＆VOCALOID™,MURASAKi,STD,EXPERT,10,100.29%,SSS,FC,-,1,87.00%,1047/1203,10.4
恋愛裁判,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10,99.01%,SS,FC,SYNC,0,81.30%,958/1179,10
立ち入り禁止,niconico＆VOCALOID™,FiNALE,STD,EXPERT,11+,99.17%,SS,-,SYNC,0,81.40%,1363/1674,11.7
スターリースカイ☆パレード,niconico＆VOCALOID™,maimaiでらっくす PLUS,DX,EXPERT,10,100.11%,SSS,FC+,-,2,92.50%,1612/1743,10
やめろ！聴くな！,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10,97.37%,S,-,SYNC,0,77.00%,1233/1602,10.1
六兆年と一夜物語,niconico＆VOCALOID™,maimaiでらっくす,DX,EXPERT,9,97.68%,S,-,-,1,86.30%,916/1062,9.4
敗北の少年,niconico＆VOCALOID™,FiNALE,STD,EXPERT,11+,98.36%,S+,FC,FS+,0,79.40%,1515/1908,11.8
Hand in Hand,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10,96.25%,AAA,-,SYNC,0,77.80%,959/1233,10.5
天ノ弱,niconico＆VOCALOID™,GreeN,STD,EXPERT,11,99.92%,SS+,FC,FS+,1,87.40%,1093/1251,11
ナイトメア☆パーティーナイト,niconico＆VOCALOID™,FiNALE,STD,EXPERT,11,100.51%,SSS+,FC,-,1,89.30%,1500/1680,11
おねがいダーリン,niconico＆VOCALOID™,MiLK PLUS,STD,EXPERT,11,100.30%,SSS,FC,-,1,89.70%,1848/2061,11.3
ロストワンの号哭,niconico＆VOCALOID™,ORANGE PLUS,STD,EXPERT,10+,89.98%,A,-,SYNC,0,67.40%,1102/1635,10.8
東京リアルワールド,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,9,100.60%,SSS+,FC+,FSD,1,87.40%,1238/1416,9.4
Nyan Cat EX,niconico＆VOCALOID™,GreeN,STD,EXPERT,11+,93.47%,AA,-,-,0,69.00%,1019/1476,11.7
木彫り鯰と右肩ゾンビ,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10+,98.54%,S+,-,SYNC,0,84.70%,1383/1632,10.8
Idoratrize World,東方Project,PRiSM PLUS (beta),DX,EXPERT,10,99.13%,SS,-,SYNC,1,85.80%,1351/1575,10.5
Ultimate taste,東方Project,PRiSM (beta),DX,EXPERT,11,99.97%,SS+,FC,SYNC,1,86.70%,1547/1785,11
Re:Unknown X,東方Project,BUDDiES PLUS,DX,EXPERT,12,96.51%,AAA,-,SYNC,0,76.50%,1489/1947,12.5
幻想に咲いた花,東方Project,UNiVERSE,DX,EXPERT,9+,93.26%,AA,-,-,0,80.90%,1170/1446,9.7
さよならヒストリー,東方Project,BUDDiES PLUS,DX,EXPERT,10,100.44%,SSS,FC,-,2,91.90%,1552/1689,10.5
三妖精SAY YA!!!,東方Project,UNiVERSE PLUS,DX,EXPERT,10,100.32%,SSS,-,-,3,93.20%,1378/1479,10
響け！CHIREI MY WAY!,東方Project,UNiVERSE,DX,EXPERT,9,100.15%,SSS,FC,-,0,84.60%,1056/1248,9.5
全力ハッピーライフ,東方Project,maimaiでらっくす PLUS,DX,EXPERT,10,96.29%,AAA,-,-,0,78.40%,1494/1905,10.2
インターネットサバイバー,東方Project,FESTiVAL PLUS,DX,EXPERT,11,100.53%,SSS+,-,-,1,89.90%,1399/1557,11
マツヨイナイトバグ,東方Project,UNiVERSE,DX,EXPERT,10+,99.68%,SS+,-,SYNC,1,88.20%,1648/1869,10.7
月に叢雲華に風,東方Project,PiNK PLUS,STD,EXPERT,10,99.92%,SS+,FC,SYNC,0,83.50%,877/1050,10
つるぺったん,東方Project,FESTiVAL PLUS,DX,EXPERT,10,99.18%,SS,-,-,0,81.80%,1254/1533,10
ケロ⑨destiny,東方Project,FESTiVAL,DX,EXPERT,10,99.27%,SS,-,-,0,84.30%,1087/1290,10.2
蒼空に舞え、墨染の桜,東方Project,PiNK,STD,EXPERT,11,99.95%,SS+,FC,SYNC,1,87.10%,1351/1551,11
Bad Apple!! feat.nomico,東方Project,GreeN,STD,EXPERT,10+,99.40%,SS,-,-,0,83.20%,1118/1344,10.6
Witches night,東方Project,maimaiでらっくす PLUS,DX,EXPERT,9,98.59%,S+,-,-,0,83.10%,1107/1332,9
Overjoy ★ OVERDOSE!!,GAME＆VARIETY,PRiSM PLUS (beta),DX,EXPERT,11,98.63%,S+,-,-,1,87.60%,1496/1707,11
Chronomia,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,12,99.27%,SS,-,SYNC,0,83.70%,1612/1926,12.5
How To Make 音ゲ～曲！,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,12,98.38%,S+,-,SYNC,1,86.80%,1690/1947,12
HYP3RTRIBE,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,11+,98.94%,S+,-,SYNC,1,85.10%,1553/1824,11.7
NightTheater,GAME＆VARIETY,FESTiVAL,DX,EXPERT,11+,97.61%,S,-,SYNC,0,80.00%,1298/1623,11.8
ouroboros -twin stroke of the end-,GAME＆VARIETY,BUDDiES PLUS,DX,EXPERT,12,98.49%,S+,-,SYNC,0,81.60%,1755/2151,12.5
OMAKENO Stroke,GAME＆VARIETY,BUDDiES,DX,EXPERT,11+,100.30%,SSS,FC,SYNC,1,87.00%,1243/1428,11.9
FUJIN Rumble,GAME＆VARIETY,ORANGE,STD,EXPERT,11+,96.55%,AAA,-,SYNC,0,79.60%,1216/1527,11.9
DANGEROOOOUS JUNGLE,GAME＆VARIETY,BUDDiES,DX,EXPERT,11+,100.35%,SSS,FC,SYNC,1,88.20%,1463/1659,11.8
僕の和風本当上手,GAME＆VARIETY,FESTiVAL PLUS,DX,EXPERT,12,97.94%,S,-,SYNC,0,83.10%,1620/1950,12
Cthugha,GAME＆VARIETY,FESTiVAL PLUS,DX,EXPERT,12,100.28%,SSS,-,SYNC,1,89.60%,2041/2277,12.5
迷える音色は恋の唄,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,10+,95.94%,AAA,-,-,0,75.90%,1196/1575,10.8
Löschen,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,11,98.19%,S+,-,SYNC,0,81.50%,1354/1662,11.2
最強STRONGER,GAME＆VARIETY,FESTiVAL,DX,EXPERT,12+,94.33%,AAA,-,SYNC,0,73.80%,1748/2367,12.8
Lost Desire,GAME＆VARIETY,FESTiVAL,DX,EXPERT,11+,99.96%,SS+,-,SYNC,1,87.90%,1513/1722,11.7
ULTRA SYNERGY MATRIX,GAME＆VARIETY,FESTiVAL PLUS,DX,EXPERT,12,99.81%,SS+,FC,SYNC,1,86.70%,1350/1557,12
ENERGY SYNERGY MATRIX,GAME＆VARIETY,MiLK PLUS,STD,EXPERT,13,98.89%,S+,-,SYNC,0,83.00%,1654/1992,13
竹,GAME＆VARIETY,UNiVERSE,DX,EXPERT,12,98.70%,S+,-,SYNC,1,86.00%,1546/1797,12
れっつ！みらくる☆はーどこあっ！,GAME＆VARIETY,FESTiVAL,DX,EXPERT,11+,100.04%,SSS,FC,SYNC,1,89.80%,1683/1875,11.8
Grievous Lady,GAME＆VARIETY,Splash,DX,EXPERT,12,96.12%,AAA,-,-,0,75.30%,1609/2136,12
FREEDOM DiVE (tpz Overcute Remix),GAME＆VARIETY,MiLK PLUS,STD,EXPERT,12+,100.18%,SSS,-,SYNC,1,86.90%,1828/2103,12.8
BATTLE NO.1,GAME＆VARIETY,Splash,DX,EXPERT,12,94.99%,AAA,-,SYNC,0,81.40%,1821/2238,12.2
Altale,GAME＆VARIETY,FiNALE,STD,EXPERT,12,98.59%,S+,-,SYNC,0,82.10%,990/1206,12.4
お願い！コンコンお稲荷さま,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,10,98.85%,S+,-,-,1,86.50%,1267/1464,10.5
いっぱい食べる君が好きだよ,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,10+,100.67%,SSS+,FC+,-,1,89.10%,1655/1857,10.8
ピポピポ -People People- feat. ななひら,GAME＆VARIETY,PRiSM (beta),DX,EXPERT,11,100.55%,SSS+,FC+,SYNC,2,90.20%,1740/1929,11.2
コンティニュー！ feat. 藍月なくる,GAME＆VARIETY,FESTiVAL PLUS,DX,EXPERT,10+,100.83%,SSS+,FC+,SYNC,2,91.60%,1519/1659,10.7
Luminaria,GAME＆VARIETY,FESTiVAL,DX,EXPERT,12,99.90%,SS+,FC,SYNC,1,87.20%,1807/2073,12.2
enchanted love,GAME＆VARIETY,UNiVERSE PLUS,DX,EXPERT,11+,97.04%,S,-,SYNC,0,81.00%,909/1122,11.8
Southern Cross,GAME＆VARIETY,UNiVERSE,DX,EXPERT,10+,100.70%,SSS+,FC,SYNC,2,90.50%,1593/1761,10.7
Brain Power,GAME＆VARIETY,MiLK PLUS,STD,EXPERT,11+,97.60%,S,FC,-,0,81.00%,1110/1371,11.8
CO5M1C R4ILR0AD,GAME＆VARIETY,Splash PLUS,DX,EXPERT,11+,99.34%,SS,-,SYNC,1,87.00%,1548/1779,11.8
Re：End of a Dream,GAME＆VARIETY,Splash PLUS,DX,EXPERT,12,97.50%,S,-,SYNC,0,82.50%,1557/1887,12
Arty Party,GAME＆VARIETY,Splash,DX,EXPERT,11+,97.70%,S,-,-,0,85.00%,1331/1566,11.8
c.s.q.n.,GAME＆VARIETY,Splash,DX,EXPERT,11,97.25%,S,-,SYNC,0,81.60%,1241/1521,11.2
L4TS:2018 (feat. あひる & KTA),GAME＆VARIETY,FiNALE,STD,EXPERT,11+,97.83%,S,-,-,0,78.50%,989/1260,11.9
源平大戦絵巻テーマソング,GAME＆VARIETY,maimai,STD,EXPERT,10+,98.08%,S+,-,SYNC,0,80.50%,908/1128,10.7
In Chaos,GAME＆VARIETY,maimai,STD,EXPERT,9+,93.76%,AA,-,SYNC,0,67.50%,660/978,9.7
Outlaw's Lullaby,GAME＆VARIETY,GreeN PLUS,STD,EXPERT,10+,100.34%,SSS,FC+,SYNC,0,84.70%,1001/1182,10.7
分解収束テイル,maimai,FESTiVAL,DX,EXPERT,11,100.21%,SSS,FC,SYNC,1,87.50%,1757/2007,11
分からない,maimai,MURASAKi,STD,EXPERT,11+,97.63%,S,-,SYNC,0,79.80%,1231/1542,11.7
Fraq,maimai,PRiSM PLUS (beta),DX,EXPERT,12,100.29%,SSS,-,-,1,88.30%,1793/2031,12.2
ウタヒメナイトストーム,maimai,PRiSM PLUS (beta),DX,EXPERT,11,99.65%,SS+,FC,SYNC,1,88.90%,1472/1656,11.5
Feel The Luv,maimai,PRiSM PLUS (beta),DX,EXPERT,11,99.10%,SS,-,SYNC,1,85.60%,1525/1782,11.2
YKWTD,maimai,PRiSM (beta),DX,EXPERT,11,98.64%,S+,-,SYNC,0,84.60%,1323/1563,11
184億回のマルチトニック,maimai,PRiSM (beta),DX,EXPERT,11+,98.87%,S+,FC,SYNC,0,83.70%,1653/1974,11.7
エスオーエス,maimai,BUDDiES PLUS,DX,EXPERT,10+,99.60%,SS+,-,SYNC,0,83.60%,1749/2091,10.9
チエルカ／エソテリカ,maimai,Splash PLUS,DX,EXPERT,12,97.18%,S,-,SYNC,0,77.60%,1724/2223,12.5
星空パーティーチューン,maimai,UNiVERSE PLUS,DX,EXPERT,11,100.36%,SSS,FC+,SYNC,1,89.30%,1655/1854,11.5
ミルキースター・シューティングスター,maimai,UNiVERSE PLUS,DX,EXPERT,10+,99.62%,SS+,-,-,1,88.50%,1678/1896,10.7
プリズム△▽リズム,maimai,PRiSM (beta),DX,EXPERT,10,100.35%,SSS,FC,SYNC,2,90.10%,1325/1470,10
Ourania,maimai,PRiSM (beta),DX,EXPERT,10+,100.29%,SSS,FC,-,1,88.80%,1217/1371,10.8
RE:INCARNATED DRAGNER,maimai,BUDDiES PLUS,DX,EXPERT,11+,100.21%,SSS,FC,SYNC,1,87.70%,1825/2082,11.8
Beginning together!,maimai,BUDDiES PLUS,DX,EXPERT,10+,98.24%,S+,FC,-,0,80.80%,1144/1416,10.7
Shining Ray ～僕らの絆～,maimai,BUDDiES PLUS,DX,EXPERT,10,98.20%,S+,-,-,0,83.10%,1332/1602,10.5
DEVOTION,maimai,BUDDiES PLUS,DX,EXPERT,11+,98.80%,S+,-,SYNC,0,81.90%,1524/1860,11.7
ツムギボシ,maimai,FESTiVAL PLUS,DX,EXPERT,11+,100.77%,SSS+,FC+,SYNC,2,91.40%,1717/1878,11.9
Rainbow Rush Story,maimai,FESTiVAL,DX,EXPERT,10,100.76%,SSS+,FC,-,3,93.80%,1334/1422,10.5
群青シグナル,maimai,FESTiVAL,DX,EXPERT,11+,100.67%,SSS+,FC,SYNC,1,89.40%,1749/1956,11.7
ホシシズク,maimai,FESTiVAL,DX,EXPERT,10,100.75%,SSS+,FC,SYNC,2,91.60%,1833/2001,10.5
前衛的Landscape,maimai,UNiVERSE,DX,EXPERT,11,99.84%,SS+,-,SYNC,1,88.10%,1203/1365,11.4
トリアージ,maimai,UNiVERSE,DX,EXPERT,10,98.41%,S+,-,-,0,83.50%,1150/1377,10
とびだせ！TO THE COSMIC!!,maimai,UNiVERSE,DX,EXPERT,12,96.40%,AAA,-,-,0,82.80%,1814/2190,12.5
生命不詳,maimai,Splash PLUS,DX,EXPERT,11+,98.25%,S+,FC,SYNC,0,83.60%,1495/1788,11.7
ぼくたちいつでも　しゅわっしゅわ！,maimai,Splash,DX,EXPERT,11,98.83%,S+,-,SYNC,0,84.90%,1408/1659,11.3
超常マイマイン,maimai,maimaiでらっくす,DX,EXPERT,10,99.19%,SS,-,-,1,86.80%,1687/1944,10.3
でらっくmaimai♪てんてこまい!,maimai,maimaiでらっくす,DX,EXPERT,10,99.20%,SS,-,-,1,86.50%,1525/1764,10.3
OTOGEMA,maimai,UNiVERSE,DX,EXPERT,10+,99.06%,SS,FC,SYNC,1,87.50%,1412/1614,10.7
KING is BACK!!,maimai,MURASAKi PLUS,STD,EXPERT,11+,100.26%,SSS,FC,-,1,86.90%,1366/1572,11.9
FEEL ALIVE,maimai,maimai PLUS,STD,EXPERT,12,90.70%,AA,-,SYNC,0,67.80%,671/990,12.1
welcome to maimai!! with マイマイマー,maimai,ORANGE PLUS,STD,EXPERT,9+,95.87%,AAA,-,-,0,76.00%,1090/1434,9.9
一か罰,maimai,maimaiでらっくす,DX,EXPERT,11,98.59%,S+,-,SYNC,1,87.00%,1796/2064,11.4
SPILL OVER COLORS,maimai,MiLK,STD,EXPERT,11+,99.19%,SS,-,-,0,82.90%,1201/1449,11.8
Selector,maimai,MURASAKi,STD,EXPERT,11+,98.20%,S+,-,-,0,83.70%,1200/1434,11.9
Starlight Disco,maimai,UNiVERSE PLUS,DX,EXPERT,11+,99.95%,SS+,FC,-,1,88.10%,830/942,11.9
Starlight Disco,maimai,maimai PLUS,STD,EXPERT,11+,97.86%,S,-,-,0,80.10%,553/690,11.9
ナミダと流星,maimai,BUDDiES,DX,EXPERT,11,99.37%,SS,FC,SYNC,0,84.60%,1256/1485,11
ネコ日和。,maimai,maimai,STD,EXPERT,8+,100.82%,SSS+,FC+,-,2,91.60%,772/843,8.8
犬日和。,maimai,maimai PLUS,STD,EXPERT,10,97.17%,S,-,-,0,81.90%,828/1011,10
炎歌 -ほむらうた-,maimai,BUDDiES PLUS,DX,EXPERT,9+,81.31%,A,-,SYNC,0,64.80%,659/1017,9.8
P-qoq,maimai,maimaiでらっくす,DX,EXPERT,10,97.04%,S,-,SYNC,0,82.10%,1202/1464,10.5
Flashback,maimai,PRiSM (beta),DX,EXPERT,11,97.16%,S,-,-,0,83.40%,1289/1545,11.5
Colorfull:Encounter,maimai,PRiSM (beta),DX,EXPERT,11+,98.08%,S+,-,-,0,80.20%,1265/1578,11.7
Oshama Scramble!,maimai,ORANGE PLUS,STD,EXPERT,11+,98.21%,S+,-,-,0,84.00%,1497/1782,11.9
天蓋,maimai,PRiSM (beta),DX,EXPERT,11,99.39%,SS,-,SYNC,1,86.00%,1208/1404,11.3
Deicide,maimai,PRiSM (beta),DX,EXPERT,12,98.19%,S+,-,SYNC,0,82.10%,1362/1659,12
Edelweiss,maimai,BUDDiES PLUS,DX,EXPERT,11+,98.82%,S+,-,SYNC,0,83.20%,1375/1653,11.8
Ether Second,maimai,BUDDiES,DX,EXPERT,11+,98.38%,S+,-,SYNC,0,82.00%,1276/1557,11.8
Straight into the lights,maimai,BUDDiES,DX,EXPERT,12,94.80%,AAA,-,SYNC,0,76.40%,1196/1566,12.5
The Great Banquet,maimai,BUDDiES,DX,EXPERT,11,98.10%,S+,-,SYNC,1,87.50%,1359/1554,11.5
Horoscope Express,maimai,BUDDiES,DX,EXPERT,11,98.93%,S+,FC,SYNC,1,85.50%,1434/1677,11.5
Party☆People☆Princess,maimai,BUDDiES,DX,EXPERT,11+,100.55%,SSS+,FC+,-,2,90.50%,1594/1761,11.9
渦状銀河のシンフォニエッタ,maimai,maimaiでらっくす PLUS,DX,EXPERT,11+,94.89%,AAA,-,SYNC,0,70.60%,1182/1674,11.8
モ°ルモ°ル (MZK Skippin' Remix),maimai,FESTiVAL PLUS,DX,EXPERT,10+,99.39%,SS,-,SYNC,1,87.60%,1122/1281,10.9
Beat Opera op.1,maimai,FESTiVAL,DX,EXPERT,10+,98.74%,S+,-,SYNC,0,82.60%,1239/1500,10.8
VIIIbit Explorer,maimai,FESTiVAL,STD,EXPERT,12+,96.37%,AAA,-,SYNC,0,76.20%,1500/1968,12.9
You Mean the World to Me,maimai,FESTiVAL,DX,EXPERT,11,98.33%,S+,-,-,1,86.70%,1361/1569,11.5
411Ψ892,maimai,FESTiVAL,DX,EXPERT,12+,96.51%,AAA,-,SYNC,0,77.10%,1459/1893,12.7
Tricolor⁂circuS,maimai,FESTiVAL,DX,EXPERT,10+,100.66%,SSS+,FC,SYNC,1,90.00%,1312/1458,10.7
星見草,maimai,FESTiVAL,DX,EXPERT,11,99.02%,SS,-,-,0,84.50%,1318/1560,11
Cryptarithm,maimai,PRiSM (beta),DX,EXPERT,13,88.38%,A,-,SYNC,0,70.60%,1489/2109,13
Yorugao,maimai,UNiVERSE,DX,EXPERT,12,92.21%,AA,-,SYNC,0,70.20%,1281/1824,12.2
BREaK! BREaK! BREaK!,maimai,Splash,DX,EXPERT,12+,94.56%,AAA,-,SYNC,0,74.70%,1641/2196,12.8
NAGAREBOSHI☆ROCKET,maimai,UNiVERSE,DX,EXPERT,12,98.34%,S+,-,SYNC,1,86.00%,1426/1659,12
U&iVERSE -銀河鸞翔-,maimai,UNiVERSE,DX,EXPERT,12,96.79%,AAA,-,-,0,80.70%,1733/2148,12.1
Starry Colors,maimai,Splash PLUS,DX,EXPERT,11,97.92%,S,-,SYNC,0,81.60%,1275/1563,11
ワンダーシャッフェンの法則,maimai,Splash,DX,EXPERT,10+,99.41%,SS,-,SYNC,1,88.50%,1129/1275,10.7
UniTas,maimai,maimaiでらっくす PLUS,DX,EXPERT,11+,96.74%,AAA,-,SYNC,0,79.80%,1825/2286,11.8
MAXRAGE,maimai,maimaiでらっくす,DX,EXPERT,11,96.14%,AAA,-,SYNC,0,82.20%,1659/2019,11.4
Mare Maris,maimai,MiLK,STD,EXPERT,12,99.45%,SS,-,SYNC,1,86.40%,1438/1665,12.5
Fragrance,maimai,maimai PLUS,STD,EXPERT,12+,86.69%,A,-,SYNC,0,58.40%,515/882,12.7
VERTeX,maimai,ORANGE,STD,EXPERT,11+,94.48%,AAA,-,SYNC,0,71.70%,1133/1581,11.9
ViRTUS,maimai,FESTiVAL,DX,EXPERT,13,88.97%,A,-,SYNC,0,69.40%,1484/2139,13.2
crazy (about you),オンゲキ＆CHUNITHM,PRiSM PLUS (beta),DX,EXPERT,10+,100.52%,SSS+,FC,SYNC,1,89.60%,1100/1227,10.8
Drivessover,オンゲキ＆CHUNITHM,PRiSM PLUS (beta),DX,EXPERT,12,98.21%,S+,-,SYNC,0,82.10%,1392/1695,12.2
Tidal Wave,オンゲキ＆CHUNITHM,PRiSM PLUS (beta),DX,EXPERT,12,97.06%,S,-,SYNC,0,77.70%,1056/1359,12.3
サウンドプレイヤー,オンゲキ＆CHUNITHM,PRiSM PLUS (beta),DX,EXPERT,10,100.57%,SSS+,FC,SYNC,1,87.80%,1367/1557,10
Zitronectar,オンゲキ＆CHUNITHM,PRiSM PLUS (beta),DX,EXPERT,12,98.76%,S+,-,SYNC,1,85.20%,1396/1638,12
いちげき！のテーマ,オンゲキ＆CHUNITHM,PRiSM (beta),DX,EXPERT,10+,96.32%,AAA,-,SYNC,0,78.40%,1499/1911,10.7
Transcend Lights,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,11,100.04%,SSS,-,SYNC,1,85.70%,941/1098,11.5
撩乱乙女†無双劇,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,11+,98.29%,S+,-,-,1,88.30%,1842/2085,11.7
最っ高のエンタメだ!!,オンゲキ＆CHUNITHM,BUDDiES PLUS,DX,EXPERT,11,98.11%,S+,-,-,0,79.60%,1566/1968,11.2
Y.Y.Y.計画!!!!,オンゲキ＆CHUNITHM,FESTiVAL PLUS,DX,EXPERT,10+,97.73%,S,-,-,1,86.30%,1620/1878,10.7
ぱくぱく☆がーる,オンゲキ＆CHUNITHM,UNiVERSE,DX,EXPERT,10,100.55%,SSS+,FC,-,2,92.70%,1736/1872,10.2
トリドリ⇒モリモリ！Lovely fruits☆,オンゲキ＆CHUNITHM,Splash,DX,EXPERT,10+,98.17%,S+,-,-,0,83.60%,1542/1845,10.7
Radiance,オンゲキ＆CHUNITHM,PRiSM (beta),DX,EXPERT,10+,99.68%,SS+,FC,SYNC,0,84.10%,1297/1542,10.9
美夜月鏡,オンゲキ＆CHUNITHM,PRiSM (beta),DX,EXPERT,12,98.41%,S+,-,SYNC,0,81.90%,1389/1695,12.2
Last Kingdom,オンゲキ＆CHUNITHM,FESTiVAL PLUS,DX,EXPERT,12,99.49%,SS,-,SYNC,1,88.80%,1684/1896,12.5
Titania,オンゲキ＆CHUNITHM,maimaiでらっくす,DX,EXPERT,12,95.64%,AAA,-,-,0,77.10%,1642/2130,12.5
See The Light,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,11,99.10%,SS,FC,-,2,90.10%,1379/1530,11.5
エータ・ベータ・イータ,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,12,97.09%,S,-,-,0,82.80%,1624/1962,12.4
"Good bye, Merry-Go-Round.",オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,12,98.75%,S+,-,SYNC,0,81.60%,1523/1866,12.5
SUPER AMBULANCE,オンゲキ＆CHUNITHM,FESTiVAL,DX,EXPERT,12,99.64%,SS+,-,SYNC,2,91.00%,1770/1944,12
Don't Fight The Music,オンゲキ＆CHUNITHM,FESTiVAL,DX,EXPERT,12+,92.86%,AA,-,SYNC,0,74.20%,1672/2253,12.8
無敵We are one!!,オンゲキ＆CHUNITHM,PiNK PLUS,STD,EXPERT,10,98.75%,S+,-,SYNC,0,81.40%,1328/1632,10.1
Still,オンゲキ＆CHUNITHM,MiLK,STD,EXPERT,11,100.43%,SSS,FC,SYNC,1,88.00%,1381/1569,11.2
SPICY SWINGY STYLE,オンゲキ＆CHUNITHM,MiLK,STD,EXPERT,11+,99.66%,SS+,FC,-,0,83.50%,1272/1524,11.8
イロトリドリのメロディ,オンゲキ＆CHUNITHM,FiNALE,STD,EXPERT,10+,98.43%,S+,-,-,0,82.80%,1008/1218,10.9
DETARAME ROCK&ROLL THEORY,オンゲキ＆CHUNITHM,MURASAKi,STD,EXPERT,11,99.41%,SS,FC,SYNC,0,81.80%,1519/1857,11
My Dearest Song,オンゲキ＆CHUNITHM,MURASAKi PLUS,STD,EXPERT,11+,97.61%,S,-,SYNC,1,85.10%,1212/1425,11.8
単一指向性オーバーブルーム,オンゲキ＆CHUNITHM,Splash PLUS,DX,EXPERT,10,92.15%,AA,-,SYNC,0,76.80%,1323/1722,10.2
みなえをチェック！,オンゲキ＆CHUNITHM,Splash PLUS,DX,EXPERT,10,94.25%,AAA,-,SYNC,0,79.40%,1227/1545,10
Elemental Ethnic,オンゲキ＆CHUNITHM,PRiSM (beta),DX,EXPERT,12+,98.36%,S+,-,SYNC,0,83.50%,1755/2103,12.7
MUSIC PЯAYER,オンゲキ＆CHUNITHM,BUDDiES PLUS,DX,EXPERT,10,94.04%,AAA,-,-,0,77.20%,1462/1893,10
folern,オンゲキ＆CHUNITHM,UNiVERSE PLUS,DX,EXPERT,12,97.61%,S,-,SYNC,0,84.20%,1684/2001,12.2
レーイレーイ,オンゲキ＆CHUNITHM,Splash,DX,EXPERT,10,97.48%,S,-,SYNC,0,82.70%,1555/1881,10.5
CHOCOLATE BOMB!!!!,オンゲキ＆CHUNITHM,maimaiでらっくす PLUS,DX,EXPERT,11+,97.60%,S,-,-,0,82.50%,1295/1569,11.9
はちみつアドベンチャー,オンゲキ＆CHUNITHM,maimaiでらっくす PLUS,DX,EXPERT,10,98.62%,S+,-,-,1,86.40%,1330/1539,10
Counselor,オンゲキ＆CHUNITHM,PiNK,STD,EXPERT,10+,100.45%,SSS,FC,-,1,87.20%,1277/1464,10.7
Invitation,オンゲキ＆CHUNITHM,PiNK PLUS,STD,EXPERT,9+,98.38%,S+,-,SYNC,0,78.90%,1345/1704,9.9
その群青が愛しかったようだった,オンゲキ＆CHUNITHM,MURASAKi,STD,EXPERT,11,98.87%,S+,-,-,0,74.90%,1362/1818,11
BOKUTO,オンゲキ＆CHUNITHM,maimaiでらっくす,DX,EXPERT,11,99.38%,SS,-,-,1,85.90%,1641/1911,11.2
ビビデバ,POPS＆ANIME,PRiSM PLUS (beta),DX,MASTER,11+,99.71%,SS+,-,SYNC,1,87.40%,1751/2004,11.8
はいよろこんで,POPS＆ANIME,PRiSM PLUS (beta),DX,MASTER,11+,99.89%,SS+,-,-,1,90.00%,1752/1947,11.6
アイドル,POPS＆ANIME,BUDDiES PLUS,DX,MASTER,11,98.88%,S+,-,SYNC,1,85.10%,1605/1887,11.5
唱,POPS＆ANIME,PRiSM (beta),DX,MASTER,11+,99.47%,SS,-,-,1,89.70%,1552/1731,11.8
シカ色デイズ,POPS＆ANIME,PRiSM PLUS (beta),DX,MASTER,12+,98.35%,S+,-,SYNC,1,86.10%,1279/1485,12.8
