Name,Version,Difficulty,Level,Achievement,Play Count,Last Played
"Grievous Lady","DX","expert","12","99.2186%",3,"2026/01/09 22:48"
"はげしこの夜 -Psylent Crazy Night-","DX","expert","11+","98.7637%",1,"2025/12/18 15:53"
"MEGATON KICK","DX","expert","11+","96.7863%",1,"2025/12/18 16:10"
"BATTLE NO.1","DX","expert","12","94.9900%",1,"2025/08/20 20:41"
"Halcyon","DX","expert","11","99.7725%",1,"2025/12/21 00:25"
"Altale","Standard","expert","12","98.5946%",1,"2025/08/29 17:49"
"コンティニュー！ feat. 藍月なくる","DX","expert","10+","100.8338%",1,"2025/08/29 17:01"
"Rush-Hour","DX","expert","12","99.6339%",1,"2025/12/18 16:54"
"enchanted love","DX","expert","11+","97.0429%",1,"2025/08/18 23:05"
"Caterpillar Song","DX","expert","12","96.3261%",1,"2025/12/30 22:46"
"Southern Cross","DX","expert","10+","100.7565%",7,"2026/01/02 15:39"
"Southern Cross","DX","master","13","90.0155%",1,"2026/01/01 13:18"
"Brain Power","Standard","expert","11+","97.6020%",1,"2025/10/16 16:01"
"CO5M1C R4ILR0AD","DX","expert","11+","100.1182%",2,"2026/01/17 00:27"
"Re：End of a Dream","DX","expert","12","97.5001%",1,"2025/08/20 20:41"
"Arty Party","DX","expert","11+","99.9142%",5,"2026/01/07 16:52"
"c.s.q.n.","DX","expert","11","97.2506%",1,"2025/08/07 21:11"
"energy trixxx","DX","expert","11","99.7720%",1,"2026/01/16 23:52"
"L4TS:2018 (feat. あひる & KTA)","Standard","expert","11+","97.8271%",1,"2025/10/16 15:51"
"魔法少女になるしかねぇ","Standard","expert","12","97.5175%",1,"2026/01/31 18:10"
"源平大戦絵巻テーマソング","Standard","expert","10+","98.0825%",1,"2025/08/20 21:14"
"In Chaos","Standard","expert","9+","93.7585%",1,"2025/07/03 21:29"
"Outlaw's Lullaby","Standard","expert","10+","100.3420%",1,"2025/08/20 22:09"
"CiRCLE CAMPAiGN","DX","expert","11","100.7944%",1,"2026/01/22 16:03"
"分解収束テイル","DX","expert","11","100.2105%",2,"2025/08/18 21:27"
"分からない","Standard","expert","11+","97.6260%",1,"2025/08/07 21:11"
"殿ッ！？ご乱心！？","DX","expert","12+","96.3193%",1,"2026/01/31 17:37"
"False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)","DX","expert","13","90.5891%",1,"2025/12/18 15:18"
"YKWTD","DX","expert","11","98.6373%",1,"2025/08/04 20:28"
"184億回のマルチトニック","DX","expert","11+","98.8714%",1,"2025/08/04 19:39"
"エスオーエス","DX","expert","10+","99.5975%",2,"2025/07/28 21:01"
"チエルカ／エソテリカ","DX","expert","12","97.1769%",1,"2025/08/02 18:48"
"ミルキースター・シューティングスター","DX","expert","10+","99.6233%",1,"2025/09/04 19:29"
"プリズム△▽リズム","DX","expert","10","100.3453%",4,"2025/07/28 20:12"
"ウタヒメナイトストーム","DX","expert","11","99.6481%",3,"2025/08/18 23:52"
"Ourania","DX","expert","10+","100.2947%",1,"2025/08/22 17:59"
"RE:INCARNATED DRAGNER","DX","expert","11+","100.2147%",3,"2025/08/18 21:08"
"Beginning together!","DX","expert","10+","98.2403%",1,"2025/07/17 20:20"
"Shining Ray ～僕らの絆～","DX","expert","10","98.1992%",1,"2025/07/21 20:45"
"DEVOTION","DX","expert","11+","98.7988%",4,"2025/08/20 20:21"
"ツムギボシ","DX","expert","11+","100.7724%",16,"2025/12/26 21:50"
"Rainbow Rush Story","DX","expert","10","100.8861%",6,"2025/12/09 19:27"
"群青シグナル","DX","expert","11+","100.6651%",1,"2025/08/20 21:53"
"ホシシズク","DX","expert","10","100.8809%",5,"2025/12/09 19:27"
"トリアージ","DX","expert","10","98.4112%",2,"2025/06/27 20:38"
"とびだせ！TO THE COSMIC!!","DX","expert","12","96.4001%",1,"2025/10/13 16:38"
"生命不詳","DX","expert","11+","98.2513%",1,"2025/08/27 16:25"
"ぼくたちいつでも　しゅわっしゅわ！","DX","expert","11","98.8275%",1,"2025/07/28 21:01"
"超常マイマイン","DX","expert","10","99.1942%",3,"2025/06/19 20:33"
"超常マイマイン","DX","master","12+","95.9841%",4,"2026/01/15 20:44"
"でらっくmaimai♪てんてこまい!","DX","expert","10","99.2003%",1,"2025/08/02 22:01"
"OTOGEMA","DX","expert","10+","99.0595%",1,"2025/07/28 21:01"
"KING is BACK!!","Standard","expert","11+","100.2582%",1,"2025/08/26 17:07"
"FEEL ALIVE","Standard","expert","12","90.7021%",1,"2025/08/29 18:05"
"welcome to maimai!! with マイマイマー","Standard","expert","9+","95.8723%",1,"2025/06/17 20:17"
"一か罰","DX","expert","11","98.5887%",1,"2025/08/27 17:15"
"一か罰","DX","master","12+","94.5436%",1,"2026/01/31 19:00"
"SPILL OVER COLORS","Standard","expert","11+","99.1918%",1,"2025/10/16 16:01"
"Selector","Standard","expert","11+","98.2024%",1,"2025/08/26 17:07"
"Starlight Disco","DX","expert","11+","99.9536%",1,"2025/08/26 16:46"
"Starlight Disco","Standard","expert","11+","97.8603%",1,"2025/08/26 16:46"
"ナミダと流星","DX","expert","11","99.3675%",1,"2025/07/28 20:29"
"ネコ日和。","Standard","expert","8+","100.8203%",8,"2025/09/04 20:20"
"ネコ日和。","Standard","master","12+","98.7237%",5,"2026/01/13 19:42"
"犬日和。","Standard","expert","10","97.1733%",2,"2025/09/04 19:42"
"炎歌 -ほむらうた-","DX","expert","9+","81.3116%",1,"2025/01/09 15:53"
"Fraq","DX","expert","12","100.2919%",7,"2025/12/18 15:33"
"Valsqotch","DX","expert","13","94.3726%",1,"2026/01/31 19:00"
"P-qoq","DX","expert","10","97.0370%",1,"2025/07/28 20:45"
"Feel The Luv","DX","expert","11","99.0997%",3,"2025/08/07 20:49"
"Flashback","DX","expert","11","97.1643%",1,"2025/08/08 19:55"
"Colorfull:Encounter","DX","expert","11+","98.0837%",1,"2025/08/12 20:15"
"TEmPTaTiON","DX","expert","12+","95.3023%",1,"2026/01/31 19:00"
"Oshama Scramble!","Standard","expert","11+","98.2062%",2,"2025/10/16 15:41"
"Tricolor⁂circuS","DX","expert","10+","100.7093%",7,"2026/01/31 18:37"
"天蓋","DX","expert","11","99.3868%",2,"2025/08/26 16:35"
"Deicide","DX","expert","12","98.1859%",1,"2025/08/27 17:15"
"Edelweiss","DX","expert","11+","98.8152%",2,"2025/08/18 22:50"
"Ether Second","DX","expert","11+","98.3795%",1,"2025/08/04 20:06"
"Straight into the lights","DX","expert","12","94.7968%",1,"2025/08/20 21:14"
"The Great Banquet","DX","expert","11","98.0985%",1,"2025/08/07 21:30"
"Swift Swing","DX","expert","12","98.1510%",1,"2026/01/15 20:44"
"Horoscope Express","DX","expert","11","98.9291%",4,"2025/08/29 18:05"
"Party☆People☆Princess","DX","expert","11+","100.8719%",20,"2026/01/15 20:56"
"渦状銀河のシンフォニエッタ","DX","expert","11+","94.8929%",1,"2025/07/10 21:40"
"Beat Opera op.1","DX","expert","10+","98.7437%",1,"2025/08/29 17:30"
"VIIIbit Explorer","DX","expert","13","90.8193%",1,"2026/01/31 18:37"
"You Mean the World to Me","DX","expert","11","98.3272%",1,"2025/08/26 17:19"
"""411Ψ892""","DX","expert","12+","99.0770%",3,"2026/01/06 17:23"
"星見草","DX","expert","11","99.0173%",1,"2025/09/03 14:24"
"Cryptarithm","DX","expert","13","96.1741%",3,"2026/01/31 19:00"
"7thSense","Standard","expert","11+","98.9097%",1,"2025/12/18 16:10"
"Yorugao","DX","expert","12","92.2052%",1,"2025/08/20 21:35"
"BREaK! BREaK! BREaK!","DX","expert","12+","95.5627%",4,"2025/12/18 15:18"
"Raven Emperor","DX","expert","12","95.8223%",1,"2025/12/18 17:11"
"華の集落、秋のお届け","Standard","expert","12","98.1159%",1,"2026/01/31 18:37"
"NAGAREBOSHI☆ROCKET","DX","expert","12","98.3361%",2,"2025/08/13 20:00"
"Starry Colors","DX","expert","11","97.9244%",1,"2025/08/04 20:28"
"ワンダーシャッフェンの法則","DX","expert","10+","99.4144%",1,"2025/08/07 21:49"
"UniTas","DX","expert","11+","96.7350%",1,"2025/07/28 20:29"
"MYTHOS","Standard","expert","12","95.8029%",1,"2026/01/31 18:10"
"MAXRAGE","DX","expert","11","96.1377%",1,"2025/07/28 20:12"
"ATLAS RUSH","DX","expert","12+","97.8542%",2,"2026/01/17 00:27"
"Mare Maris","Standard","expert","12","99.4536%",2,"2025/12/12 21:47"
"高気圧ねこロック","Standard","expert","11+","98.9743%",1,"2025/12/09 19:41"
"VERTeX","Standard","expert","11+","94.4750%",1,"2025/08/07 21:11"
"ViRTUS","DX","expert","13","88.9742%",1,"2025/08/02 18:25"
"U&iVERSE -銀河鸞翔-","DX","expert","12","96.7888%",3,"2025/09/13 17:07"
"ここからはじまるプロローグ。 (Kanon Remix)","DX","expert","11+","100.5594%",5,"2026/01/09 22:23"
"モ°ルモ°ル (MZK Skippin' Remix)","DX","expert","10+","99.3911%",1,"2025/07/28 20:45"
"いちげき！のテーマ","DX","expert","10+","100.7660%",3,"2025/12/09 19:41"
"Transcend Lights","DX","expert","11","100.0358%",2,"2025/09/25 19:54"
"撩乱乙女†無双劇","DX","expert","11+","98.2909%",1,"2025/10/01 00:33"
"最っ高のエンタメだ!!","DX","expert","11","99.8471%",3,"2026/01/17 20:45"
"Y.Y.Y.計画!!!!","DX","expert","10+","97.7283%",1,"2025/06/27 20:25"
"ぱくぱく☆がーる","DX","expert","10","100.5469%",5,"2026/01/17 20:45"
"トリドリ⇒モリモリ！Lovely fruits☆","DX","expert","10+","100.6151%",2,"2026/01/17 20:59"
"Zitronectar","DX","expert","12","98.7630%",9,"2026/01/12 17:45"
"Radiance","DX","expert","10+","99.8611%",8,"2026/01/01 13:18"
"美夜月鏡","DX","expert","12","98.4121%",1,"2025/09/19 00:34"
"MarbleBlue.","DX","expert","12+","95.1015%",1,"2026/01/31 17:53"
"Last Kingdom","DX","expert","12","99.4903%",2,"2025/09/19 00:00"
"Titania","DX","expert","12","95.6374%",4,"2026/01/31 16:13"
"See The Light","DX","expert","11","99.9445%",2,"2025/12/18 15:18"
"エータ・ベータ・イータ","DX","expert","12","97.0884%",1,"2025/10/13 16:50"
"Good bye, Merry-Go-Round.","DX","expert","12","98.7528%",1,"2025/08/27 17:54"
"SUPER AMBULANCE","DX","expert","12","99.6405%",4,"2025/12/18 14:59"
"Don't Fight The Music","DX","expert","12+","92.8629%",1,"2025/08/02 17:30"
"無敵We are one!!","Standard","expert","10","100.6185%",3,"2026/01/17 20:45"
"Session High⤴","Standard","expert","10+","99.8776%",1,"2025/10/28 21:45"
"Session High⤴","Standard","master","12+","94.7471%",1,"2026/01/31 16:01"
"crazy (about you)","DX","expert","10+","100.5203%",2,"2025/10/14 17:53"
"サウンドプレイヤー","DX","expert","10","100.5723%",2,"2025/08/27 17:15"
"SPICY SWINGY STYLE","Standard","expert","11+","100.2673%",5,"2026/01/17 20:33"
"Bang Babang Bang!!!","Standard","expert","11+","99.7375%",1,"2025/12/18 15:53"
"イロトリドリのメロディ","Standard","expert","10+","98.4335%",1,"2025/08/26 17:19"
"イロトリドリのメロディ","Standard","master","12+","94.7963%",1,"2026/01/31 16:13"
"DETARAME ROCK&ROLL THEORY","Standard","expert","11","99.4146%",1,"2025/07/10 21:40"
"My Dearest Song","Standard","expert","11+","97.6058%",1,"2025/08/27 16:25"
"あねぺったん","Standard","expert","10+","100.2963%",1,"2025/10/28 21:45"
"単一指向性オーバーブルーム","DX","expert","10","92.1517%",1,"2025/03/04 19:18"
"みなえをチェック！","DX","expert","10","100.7220%",2,"2026/01/17 20:59"
"Drivessover","DX","expert","12","98.2069%",2,"2025/08/27 17:54"
"Tidal Wave","DX","expert","12","97.0583%",1,"2025/08/04 20:48"
"Elemental Ethnic","DX","expert","12+","98.3553%",1,"2025/08/27 16:40"
"MUSIC PЯAYER","DX","expert","10","94.0439%",1,"2025/03/27 18:27"
"コスモポップファンクラブ","DX","expert","10+","100.5914%",1,"2025/12/18 16:54"
"folern","DX","expert","12","97.6145%",2,"2025/08/27 17:54"
"レーイレーイ","DX","expert","10","97.4775%",2,"2025/08/18 22:50"
"CHOCOLATE BOMB!!!!","DX","expert","11+","97.5960%",1,"2025/10/16 15:51"
"はちみつアドベンチャー","DX","expert","10","98.6200%",1,"2025/07/03 20:27"
"Counselor","Standard","expert","10+","100.4482%",3,"2025/10/28 21:19"
"Counselor","Standard","master","12","97.0182%",4,"2026/01/17 00:27"
"Invitation","Standard","expert","9+","98.3786%",1,"2025/06/20 20:46"
"その群青が愛しかったようだった","Standard","expert","11","98.8680%",1,"2025/07/23 20:32"
"光線チューニング","Standard","expert","11+","100.5317%",1,"2026/01/17 20:33"
"BOKUTO","DX","expert","11","99.3812%",1,"2025/07/23 20:18"
"ビビデバ","DX","master","11+","99.7142%",2,"2025/10/09 13:17"
"唱","DX","master","11+","99.4698%",1,"2025/08/13 20:56"
"はんぶんこ","DX","master","12+","89.6099%",1,"2025/11/05 00:34"
"バラライカ","Standard","master","12","98.7960%",1,"2026/01/31 16:55"
"デビル☆アイドル","DX","master","12+","97.0636%",1,"2026/01/31 17:05"
"POP STAR","Standard","master","11","93.5334%",1,"2025/07/23 20:18"
"Love You","Standard","master","11+","99.4444%",2,"2026/01/31 16:26"
"true my heart -Lovable mix-","Standard","master","12","97.0297%",1,"2026/01/15 20:56"
"タケモトピアノCMソング","DX","master","12+","94.5655%",1,"2026/01/25 21:08"
"群青讃歌","DX","master","12","99.6603%",5,"2026/01/01 12:44"
"少女レイ","DX","master","12+","98.3648%",1,"2025/12/30 22:12"
"空回りライブラリ","DX","master","12+","100.1209%",11,"2026/01/31 14:30"
"好きな惣菜発表ドラゴン","DX","master","12","99.2208%",1,"2025/12/30 22:29"
"ラビットホール","DX","master","11+","100.4766%",9,"2026/01/07 16:42"
"妄想感傷代償連盟","Standard","master","11","99.8130%",1,"2025/10/17 22:32"
"MIRA","DX","master","12+","93.7273%",1,"2025/12/26 22:50"
"ダーリンダンス","DX","master","11+","100.0307%",1,"2025/10/09 12:37"
"ゼロトーキング","DX","master","13","91.6036%",1,"2025/12/30 22:12"
"シャルル","Standard","master","12+","95.2150%",1,"2025/10/09 12:56"
"演劇","DX","master","12","97.4669%",2,"2025/12/18 15:18"
"幽霊東京","DX","master","12","97.0977%",2,"2025/12/30 22:46"
"エイリアンエイリアン","Standard","master","12+","96.1848%",1,"2025/10/09 12:56"
"METEOR","DX","master","12","96.4804%",1,"2025/12/30 22:46"
"ラブチーノ","Standard","master","11+","96.3746%",1,"2025/10/16 15:51"
"ロールプレイングゲーム","Standard","master","12+","99.1132%",1,"2026/01/21 17:41"
"はやくそれになりたい！","Standard","master","11+","100.5237%",21,"2026/01/09 22:23"
"Tell Your World","Standard","master","12","97.6830%",1,"2025/12/18 14:59"
"サドマミホリック","Standard","master","12","98.5344%",1,"2026/01/31 17:20"
"最終鬼畜妹フランドール・S","Standard","master","12","99.1525%",1,"2026/01/21 17:41"
"Help me, ERINNNNNN!!（Band ver.）","Standard","master","12","97.0500%",1,"2026/01/21 17:18"
"クレイジークレイジーダンサーズ","Standard","master","11+","99.1021%",2,"2025/08/12 20:15"
"お嫁にしなさいっ！","Standard","master","12+","96.6765%",1,"2026/01/21 17:29"
"みんなの","Standard","master","12","95.7525%",2,"2026/01/31 14:54"
"彩りキャンバス","DX","master","13","93.3774%",1,"2026/01/31 17:20"
"檄！帝国華撃団(改)","Standard","master","10+","95.9640%",1,"2025/05/07 18:54"
"りばーぶ","Standard","master","11","96.9110%",2,"2025/07/22 21:13"
"RIFFRAIN","DX","master","13","90.3771%",1,"2025/09/19 00:50"
"Sweets×Sweets","Standard","master","11","96.5308%",1,"2025/07/23 20:18"
"STARTLINER","DX","master","11+","100.2099%",4,"2025/12/09 19:54"
"Jump!! Jump!! Jump!!","DX","master","12","98.8169%",2,"2026/01/31 15:06"
"最強 the サマータイム!!!!!","DX","master","12+","97.1342%",2,"2026/01/31 16:01"
"STARRED HEART","DX","master","12","98.3284%",3,"2026/01/31 16:01"
"Kiss Me Kiss","DX","master","12+","94.0680%",1,"2026/01/31 16:13"
"Agitation！","DX","master","12","96.0442%",1,"2026/01/31 16:26"
