Name,Version,Difficulty,Level,Achievement,Play Count,Last Played
"星空パーティーチューン","DX","advanced","8+","98.5399%",2,"2025/02/22 00:44"
"星空パーティーチューン","DX","expert","11","100.3617%",8,"2026/01/06 17:34"
"前衛的Landscape","DX","advanced","8","98.9592%",1,"2025/01/16 00:25"
"前衛的Landscape","DX","expert","11","99.8394%",1,"2025/08/18 23:36"
"FEEL the BEATS","Standard","advanced","8+","83.6560%",1,"2025/02/16 01:15"
"mystique as iris","DX","advanced","9+","97.9181%",1,"2025/05/27 17:51"
"雨露霜雪","DX","advanced","9","100.8657%",4,"2025/08/20 21:35"
"QZKago Requiem","Standard","advanced","10+","96.2127%",1,"2025/07/03 20:57"
"QZKago Requiem","Standard","expert","13","95.3246%",1,"2026/01/31 18:37"
"IF:U","DX","advanced","8","99.3448%",1,"2025/01/09 17:17"
"raputa","DX","advanced","8+","100.6680%",1,"2025/05/27 18:47"
"the EmpErroR","Standard","advanced","10+","98.1693%",2,"2025/08/07 21:49"
"VeRForTe αRtE:VEiN","DX","advanced","8","100.5551%",1,"2025/08/20 22:09"
"[X]","DX","advanced","8","100.7708%",1,"2025/08/22 17:12"
"VIIIbit Explorer","Standard","advanced","8","100.3814%",1,"2025/08/07 21:30"
"VIIIbit Explorer","Standard","expert","12+","96.3676%",2,"2025/11/14 22:42"
"康莊大道","DX","advanced","8+","100.7103%",1,"2026/01/13 19:42"
"Strive against fate","DX","advanced","7+","100.4676%",1,"2025/08/18 23:21"
"PANDORA PARADOXXX","Standard","advanced","11","93.6437%",1,"2025/07/10 21:40"
"華の集落、秋のお届け","DX","advanced","7+","99.0668%",2,"2024/08/19 19:36"
"BLACK SWAN","DX","advanced","8","98.7058%",1,"2025/05/27 18:10"
"Glorious Crown","Standard","advanced","10","100.2332%",1,"2025/08/18 23:36"
"Axeria","Standard","advanced","8+","99.0333%",1,"2025/05/27 17:16"
"FFT","Standard","advanced","9","99.8929%",1,"2025/07/10 21:23"
"Excalibur ～Revived resolution～","Standard","advanced","10","97.1094%",1,"2025/07/03 20:57"
"Schwarzschild","Standard","advanced","9+","99.9941%",2,"2025/08/20 21:35"
"Fragrance","Standard","advanced","9","92.0675%",1,"2025/05/27 18:47"
"Fragrance","Standard","expert","12+","86.6914%",1,"2025/08/29 18:05"
"R'N'R Monsta","DX","advanced","8","100.4235%",1,"2025/07/03 21:29"
"R'N'R Monsta","DX","expert","12","98.8334%",1,"2025/11/14 22:11"
"Apollo","DX","advanced","8+","98.9784%",1,"2025/03/04 19:18"
"Still","Standard","advanced","7+","95.4246%",1,"2025/01/09 16:11"
"Still","Standard","expert","11","100.5597%",8,"2026/01/17 20:59"
"Λzure Vixen","DX","advanced","8","99.9341%",1,"2025/05/27 17:33"
"Hainuwele","DX","advanced","8","100.0104%",1,"2025/05/27 18:10"
"スピカの天秤","DX","advanced","8+","100.6303%",1,"2025/08/20 20:57"
"World Vanquisher","Standard","advanced","9+","97.8249%",1,"2025/05/27 18:27"
"Xevel","Standard","advanced","8+","99.6502%",1,"2025/07/10 20:44"
"TiamaT:F minor","Standard","advanced","10","91.2312%",1,"2025/03/04 19:37"
"エンドマークに希望と涙を添えて","Standard","advanced","9+","93.6387%",1,"2025/03/04 19:00"
"アイドル","DX","expert","9+","100.8787%",2,"2025/07/02 20:58"
"アイドル","DX","master","11","98.8775%",2,"2025/08/02 17:48"
"勇者","DX","expert","9+","96.9711%",3,"2025/06/16 20:05"
"はいよろこんで","DX","expert","9+","100.4817%",1,"2025/08/22 18:42"
"はいよろこんで","DX","master","11+","99.8873%",1,"2025/08/22 18:42"
"もういいよ","DX","expert","9+","100.8250%",1,"2025/08/29 16:35"
"モエチャッカファイア","DX","expert","10","100.7348%",3,"2025/09/19 00:34"
"前前前世","Standard","expert","9","97.2054%",3,"2025/05/27 18:27"
"阿修羅ちゃん","DX","expert","10","100.3254%",4,"2025/08/08 20:09"
"踊","DX","expert","8","99.9316%",1,"2025/05/07 19:06"
"踊","DX","master","11","99.1944%",4,"2025/08/13 21:09"
"うぇいびー","DX","expert","10","100.8708%",1,"2025/11/05 00:22"
"RED","DX","expert","9+","100.6511%",1,"2025/11/14 22:11"
"だから僕は音楽を辞めた","DX","expert","8+","99.4943%",3,"2025/08/11 20:58"
"だから僕は音楽を辞めた","DX","master","12","99.1980%",11,"2026/01/31 16:55"
"春を告げる","DX","expert","9+","97.5128%",2,"2025/04/11 23:29"
"シカ色デイズ","DX","expert","9+","100.6203%",4,"2025/08/29 16:35"
"シカ色デイズ","DX","master","12+","98.8470%",10,"2026/01/06 17:11"
"壱雫空","DX","expert","11","100.3404%",2,"2025/10/02 18:28"
"おとせサンダー","DX","expert","9+","98.1573%",1,"2025/03/04 19:37"
"おとせサンダー","DX","master","11","99.5511%",2,"2025/09/19 00:17"
"マヌルネコのうた","DX","expert","9+","100.5631%",2,"2025/10/17 21:46"
"スナネコのうた","DX","expert","9+","100.4315%",2,"2025/10/17 22:21"
"愛包ダンスホール","DX","expert","9","100.9236%",5,"2025/08/22 19:05"
"ヒバリ","DX","expert","10+","98.6408%",2,"2025/07/18 23:38"
"Hello, Hologram","DX","expert","10","98.7302%",1,"2025/07/03 20:27"
"不機嫌なスリーカード","DX","expert","10","100.4568%",6,"2025/08/08 20:20"
"ヒトガタ","DX","expert","10+","99.7846%",2,"2025/07/19 00:10"
"きゅびずむ","DX","expert","10","100.0852%",4,"2025/09/04 19:42"
"きゅびずむ","DX","master","12+","98.6169%",9,"2026/01/12 17:33"
"きゅびびびびずむ","DX","expert","12","100.6299%",7,"2026/01/01 12:44"
"Virtual to LIVE","DX","expert","8+","94.7000%",1,"2025/02/25 19:16"
"モンダイナイトリッパー！","DX","expert","10+","100.5634%",1,"2025/11/14 21:42"
"モンスターカミング","DX","expert","11","99.2850%",1,"2025/07/18 23:38"
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）","DX","expert","10","98.9767%",3,"2025/06/26 20:35"
"メイトなやつら（FEAT. 天開司, 佐藤ホームズ, あっくん大魔王 & 歌衣メイカ）","DX","master","13","98.8997%",10,"2026/01/02 16:01"
"夢現妄想世界","DX","expert","10+","100.1233%",2,"2025/11/14 21:56"
"シュガーホリック","DX","expert","10","100.8236%",5,"2025/08/08 20:41"
"シリウスの輝きのように","DX","expert","10+","100.0328%",6,"2025/08/08 20:20"
"シリウスの輝きのように","DX","master","12","100.4158%",9,"2026/01/16 23:35"
"プラネタリウム・レヴュー","DX","expert","10","99.9753%",3,"2025/06/26 20:23"
"プラネタリウム・レヴュー","DX","master","11+","98.6826%",6,"2025/09/13 17:32"
"Burn My Soul","DX","expert","10","99.4937%",1,"2025/07/02 20:58"
"Burn My Soul","DX","master","12+","95.5376%",1,"2026/01/31 17:05"
"おジャ魔女カーニバル!!","DX","expert","8+","99.7389%",1,"2025/03/27 17:49"
"おジャ魔女カーニバル!!","DX","master","12+","96.9728%",11,"2026/01/15 20:17"
"ハム太郎とっとこうた","DX","expert","8","98.2262%",3,"2025/02/22 00:02"
"ハム太郎とっとこうた","DX","master","12","98.9985%",11,"2026/01/31 16:55"
"Unknown","DX","expert","10","94.0144%",1,"2025/04/11 23:53"
"Princess♂","DX","expert","10","99.2279%",1,"2025/07/03 20:37"
"ネ！コ！","Standard","expert","10+","100.3920%",2,"2025/07/19 00:10"
"ネ！コ！","Standard","master","12+","95.2751%",1,"2026/01/31 17:05"
"真・ハンサム体操でズンドコホイ","Standard","expert","10","94.1481%",1,"2025/03/27 16:59"
"若い力 -SEGA HARD GIRLS MIX-","Standard","expert","10","94.4880%",1,"2025/05/27 17:16"
"セハガガガンバッちゃう！！","Standard","expert","11","100.6062%",4,"2026/01/06 17:11"
"ラブリー☆えんじぇる!!","Standard","expert","10","92.8060%",2,"2025/03/27 18:00"
"ラブリー☆えんじぇる!!","Standard","master","12","97.2332%",3,"2026/01/25 21:08"
"ラブって♡ジュエリー♪えんじぇる☆ブレイク！！","Standard","expert","11+","99.5544%",1,"2025/08/22 17:49"
"HIMITSUスパーク","Standard","expert","10","95.6359%",1,"2025/07/03 20:37"
"ウッーウッーウマウマ(ﾟ∀ﾟ)","Standard","expert","9+","100.9375%",3,"2025/08/08 20:20"
"ポップミュージックは僕のもの","Standard","expert","9+","100.0056%",1,"2025/08/02 22:01"
"きらっせ☆ウッド村ファーム","Standard","expert","10","94.6292%",1,"2025/07/03 20:37"
"きらっせ☆ウッド村ファーム","Standard","master","12+","98.4359%",1,"2026/01/25 20:59"
"テトリス","DX","expert","10+","100.8928%",1,"2026/01/22 16:03"
"テトリス","DX","master","12","100.4624%",3,"2026/01/31 14:43"
"メズマライザー","DX","expert","10","100.6505%",1,"2025/07/28 19:07"
"メズマライザー","DX","master","11+","100.0761%",7,"2026/01/07 16:52"
"サイエンス","DX","expert","10","100.7766%",1,"2026/01/25 20:36"
"サイエンス","DX","master","13","98.3536%",3,"2026/01/31 17:20"
"オーバーライド","DX","expert","11","100.9195%",5,"2025/09/13 17:32"
"のだ","DX","expert","9+","100.7176%",2,"2025/08/27 17:33"
"きゅうくらりん","DX","expert","11+","100.4982%",7,"2025/10/17 22:10"
"フォニイ","DX","expert","9+","97.1340%",4,"2025/03/27 17:12"
"フォニイ","DX","master","11","100.1282%",7,"2026/01/06 17:11"
